2332,3469,4209,1532,3294,3511,2283,3952,4323,699
2263,2143,1400,3962,747,2788,1790,490,647,3346
536,4267,2182,2390,3466,2632,3468,4026,2315,3398
3489,3753,1289,853,3450,1753,611,2147,2978,4457
3503,4122,2056,1486,3201,689,3081,860,3420,1389
1942,1968,2503,1889,629,2442,3372,48,3784,414
3439,3946,2031,2111,2057,3365,3862,1342,599,1993
3165,1241,1520,2421,633,603,2763,1961,665,1904
733,586,770,728,3298,2908,3022,2689,4237,820
3171,3155,4015,3211,2190,3540,4019,548,1888,1266
4376,1820,3688,4490,3252,1803,1246,1809,3055,755
3387,3390,3026,3425,4116,3493,3213,4088,3304,3258
3341,1708,2681,745,535,1934,2850,2369,1510,3236
901,3317,952,2068,4394,3579,3496,1824,2207,666
2117,3423,903,1463,772,1599,3705,2025,3044,477
843,2307,569,3456,2188,3672,3613,183,756,743
1933,532,286,3651,3648,579,2153,3407,1979,3561
3599,3649,3232,907,2663,896,539,3851,1693,2839
2115,2029,2214,3633,3297,180,3487,2004,2967,806
2403,692,931,4288,3251,2350,3693,698,605,1808
511,3610,283,516,2320,874,2235,2435,4319,862
2114,2362,921,3545,690,2606,2008,3419,2806,3685
556,1587,1946,120,4135,3188,659,2771,1,3231
