"x","y","c"
-1.02427817544164,4.97036735565316,1
2.01565230045662,0.585629144634333,1
-0.41791872226858,3.71618477961872,1
-0.132052810195095,-0.325529903375341,1
-0.399721359811246,0.601123467969019,1
-1.52781456505159,0.163923807615853,1
1.48605655016553,-0.168044387750344,1
-1.58578903311898,-1.84430726253977,1
1.72312475705665,4.00588437529242,1
1.873102025232,-3.23146974324839,1
-5.57505658917995,4.99602691109715,2
-5.6761126032344,3.95037172471651,2
-5.54328056766483,5.55614453039614,2
-4.74716228299692,4.09818532527416,3
-4.17560864379825,3.43972024768371,3
-4.46200599660252,3.73164611320764,3
-4.35948017220071,4.46423818177122,3
-6.0196428169351,4.19211849360653,2
-4.94317477548499,5.95021140354823,4
-6.12676349947527,4.79883170532747,2
-5.11424792659782,7.77935813015701,4
-4.62562728326303,8.45910218464845,4
-4.49639609408935,9.12667469999006,4
-5.08087400691543,7.66687777281157,4
-5.58933648777001,8.03880216548418,4
-5.49809047170532,7.76351535101556,4
-5.74541275213714,7.72068159457531,4
-4.28632063611259,7.46685905842518,4
-4.19748865959553,7.07608962712907,4
-4.47891171468348,7.34692470287319,4
-7.89604576819233,5.71082933742693,2
-7.57712753406741,4.9341576878242,2
-7.94240596104801,5.85672562481372,2
-7.42031864912087,6.05250699182071,2
-7.64700055577227,4.6705899255536,2
-7.74942679583619,4.89919841426967,2
-7.71627953135527,4.80343430291339,2
-7.32671333064805,4.75657960084385,2
-7.91132027295667,5.10976556102486,2
-6.43918886279155,5.44928784401991,2
-3.90745352809373,-4.64210706674098,5
-5.63137241918535,-4.34632815863434,5
-3.32165164649815,-6.52860090533954,5
-4.40766505966248,-6.24008488677381,5
-6.27034553359643,-6.22009422782138,5
-4.37707073049323,-5.01126101065953,5
-4.55360265696753,-5.20600835565103,5
-4.58734751868475,-5.06916682337097,5
-5.33324995085915,-5.39793546947744,5
-5.50115034991371,-5.77273821653077,5
3.28760387855702,4.20078129696071,6
3.58914524787284,5.53275820095015,6
4.60229922539429,4.71564675332102,6
5.12498412730724,5.78012668921862,6
4.1244028143433,3.84063496659843,6
4.85413121576927,3.32157130579797,6
3.6774153558346,4.44112259768102,6
2.51021851769427,6.1791892650825,6
5.79370483938019,6.60743480324443,6
5.06594797108182,6.02900535864677,6
-1.33316630465217,-0.693495828581229,1
-0.871665954181304,-3.89400775812738,1
-1.67581649171656,-1.48305772261819,1
-2.83023286858752,2.27030478689603,1
0.326241845540778,-0.954789001503108,1
-1.05733036849133,-1.83091922621707,1
-4.33430036563978,-0.840681450082714,1
2.46971262987729,0.975483792253165,1
-1.55023477035037,1.56014282514566,1
-2.8145002219118,3.63906133155137,1
6.59787486475961,-4.84850776643068,7
5.18556957116925,-6.3033128568167,8
6.08204263619696,-5.41090869428239,7
4.95821546958941,-6.66084622935033,8
4.42026667491795,-5.82075050770408,9
4.23662103139583,-5.37720294070633,9
5.54731673898936,-3.35170812092383,9
4.90606393093074,-4.81857730721429,9
5.08061107339639,-4.53468743407892,9
3.75302142500069,-5.14359061562541,9
4.65660294296069,-7.76959862867683,8
5.19090120700772,-7.68114514604743,8
4.862507841996,-7.91734018342753,8
5.4022510716837,-7.73255769065745,8
4.9851309539434,-7.81741057216336,8
3.95562490834504,-7.35473758726738,8
4.4449375231125,-7.4759416721975,8
5.6068846445705,-7.28884467480097,8
5.21738786562931,-6.9983018848146,8
4.99008639546903,-7.39346010710215,8
7.75232350592034,-5.14302578492236,7
6.64555080144539,-4.83480621319982,7
7.91679503042596,-5.05434995391148,7
6.79945019397331,-4.66159951812911,7
6.60465245371694,-5.23018678061686,7
7.34191999468804,-5.76726729023358,7
7.60747205004732,-4.79810102459491,7
7.29422129833524,-5.60804684333519,7
7.5151420793381,-4.88022711757846,7
7.50915759796672,-4.08379452059669,7
-4.28750305204537,-7.03418653675819,5
-7.40787584711913,-5.71035487751826,5
-6.61957258354465,-6.38232029549514,5
-3.2077718399924,-5.18859755874456,5
-6.12741551927395,-5.47994983765354,5
-6.43739170497929,-6.04940180640445,5
-6.56624747541495,-3.61512269445141,5
-5.76553969824597,-4.40379448115802,5
-4.89130812642906,-3.54709430575954,5
-5.61267108748002,-5.06516845801043,5
5.26570978131364,4.98939755161715,6
5.333206448995,4.20694786967413,6
3.80808411076249,5.69395131571126,6
3.80683172154593,3.58959154562801,6
5.4081157574959,6.04478744614011,6
5.39343983372563,5.48269702886138,6
5.0285893507824,5.41441915306547,6
4.38728632474224,5.76866789881217,6
4.68530520690567,5.37070327522295,6
3.06912548704713,5.79631137554547,6
-0.115901995553239,1.85463541213997,1
